303,TISBURY,2079711.744,0,2079711.744,1709869.67912
304,TOPSFIELD,5794085.616,0,5794085.616,4763704.0766
305,WAKEFIELD,11987026.128,0,11987026.128,9855333.35486
306,WEST BOYLSTON,6062719.872,0,6062719.872,4984566.20831
307,TEMPLETON,7738701.696,0,7738701.696,6362502.60352
308,TAUNTON,25948849.344,22176.0,25971025.344,21334944.3355
309,WALTHAM,16808925.408,0,16808925.408,13819738.229
310,SWAMPSCOTT,5908625.712,0,5908625.712,4857875.12591
311,SUTTON,8717701.872,0,8717701.872,7167403.91816
312,SWANSEA,12184389.888,0,12184389.888,10017599.2602
313,STURBRIDGE,7940855.472,0,7940855.472,6528706.70037
314,WALES,2117981.184,0,2117981.184,1741333.53717
315,SUDBURY,15381429.36,0,15381429.36,12646098.5568
316,STONEHAM,9406370.688,0,9406370.688,7733604.46534
317,WESTFORD,18800232.528,0,18800232.528,15456924.5728
318,WEST SPRINGFIELD,17100631.68,0,17100631.68,14059569.4032
319,WEST STOCKBRIDGE,3413743.872,0,3413743.872,2806666.43148
320,SUNDERLAND,3529130.88,0,3529130.88,2901533.7836
321,STOUGHTON,14744770.656,0,14744770.656,12122658.9902
322,TOLLAND,3759799.824,0,3759799.824,3091182.10116
323,WEST NEWBURY,4363600.56,0,4363600.56,3587606.94163
324,WESTWOOD,10280872.8,0,10280872.8,8452590.95467
325,WEST BROOKFIELD,4926285.408,0,4926285.408,4050227.66936
326,WESTMINSTER,8508079.008,0,8508079.008,6995058.9861
327,WESTHAMPTON,4354732.272,0,4354732.272,3580315.73081
328,WELLFLEET,4813391.088,0,4813391.088,3957409.72223
329,WEST BRIDGEWATER,6033724.752,0,6033724.752,4960727.38705
330,WATERTOWN,10330732.896,10982.4,10341715.296,8493913.73576
331,WAYLAND,9983366.448,0,9983366.448,8207991.14794
332,WRENTHAM,8336660.112,0,8336660.112,6854124.0832
333,WESTON,10115186.4,0,10115186.4,8316369.11892
334,WORCESTER,70564880.496,3552.384,70568432.88,58016199.3879
335,WENDELL,4010515.872,0,4010515.872,3297312.47946
336,WENHAM,3508926.432,0,3508926.432,2884922.35987
337,WARREN,5704872.624,0,5704872.624,4690356.12805
338,WASHINGTON,3331864.272,0,3331864.272,2739347.7534
339,WORTHINGTON,4732239.072,0,4732239.072,3890689.23947
340,WINCHESTER,10099062.336,0,10099062.336,8303112.45091
341,WINDSOR,4593190.8,0,4593190.8,3776368.38471
342,WINTHROP,4725104.208,0,4725104.208,3884823.19209
343,WOBURN,16834869.744,551.232,16835420.976,13841085.3343
344,WINCHENDON,8541959.184,0,8541959.184,7022914.13759
345,WILBRAHAM,12392900.784,0,12392900.784,10189029.9692
346,WILMINGTON,12713944.848,0,12713944.848,10452981.6982
347,WHITMAN,6623666.016,0,6623666.016,5445757.43157
348,WILLIAMSBURG,3619060.368,0,3619060.368,2975470.81129
349,WILLIAMSTOWN,5463396.576,0,5463396.576,4491822.56978
350,WHATELY,2994952.752,0,2994952.752,2462350.33092
