,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
167,Holden,,,,,,,,,,,,,,,3144624.648,12578498.59,0,12578498.59,,,,
168,Hubbardston,,,,,,,,,,,,,,,2000104.92,8000419.68,0,8000419.68,,,,
169,Hudson,,,,,,,,,,,,,,,2997973.704,11991894.82,0,11991894.82,,,,
170,Hull,,,,,,,,,,,,,,,1655298.744,6621194.976,0,6621194.976,,,,
171,Holland,,,,,,,,,,,,,,,801593.364,3206373.456,0,3206373.456,,,,
172,Hopkinton,,,,,,,,,,,,,,,2952575.34,11810301.36,0,11810301.36,,,,
173,Hopedale,,,,,,,,,,,,,,,966789.912,3867159.648,0,3867159.648,,,,
174,Lakeville,,,,,,,,,,,,,,,1967199.696,7868798.784,0,7868798.784,,,,
175,Kingston,,,,,,,,,,,,,,,2028966.72,8115866.88,0,8115866.88,,,,
176,Huntington,,,,,,,,,,,,,,,941239.2,3764956.8,0,3764956.8,,,,
177,Ipswich,,,,,,,,,,,,,,,2214979.932,8859919.728,0,8859919.728,,,,
178,Marlborough,,,,,,,,,,,,,,,4581775.308,18327101.23,0,18327101.23,,,,
179,Stow,,,,,,,,,,,,,,,1519203.84,6076815.36,0,6076815.36,,,,
180,Lenox,,,,,,,,,,,,,,,1252396.026,4992479.184,142540.992,5135020.176,,,,
181,Lancaster,,,,,,,,,,,,,,,1709909.124,6839636.496,0,6839636.496,,,,
182,Lanesborough,,,,,,,,,,,,,,,1041336.891,4153300.8,100389.696,4253690.496,,,,
183,Leicester,,,,,,,,,,,,,,,2082589.212,8330356.848,0,8330356.848,,,,
184,Leominster,,,,,,,,,,,,,,,5564864.316,22259267.18,1584,22260851.18,,,,
185,Lee,,,,,,,,,,,,,,,1430238.876,5720955.504,0,5720955.504,,,,
186,Lexington,,,,,,,,,,,,,,,4303446.048,17213784.19,0,17213784.19,,,,
187,Paxton,,,,,,,,,,,,,,,1045753.896,4183015.584,0,4183015.584,,,,
188,Leverett,,,,,,,,,,,,,,,820027.692,3280110.768,0,3280110.768,,,,
189,Littleton,,,,,,,,,,,,,,,1891282.272,7565129.088,0,7565129.088,,,,
190,Lincoln,,,,,,,,,,,,,,,1426317.552,5705270.208,0,5705270.208,,,,
191,Leyden,,,,,,,,,,,,,,,644403.936,2577615.744,0,2577615.744,,,,
192,Lynn,,,,,,,,,,,,,,,6041900.568,24167602.27,0,24167602.27,,,,
193,Lunenburg,,,,,,,,,,,,,,,2301618.66,9206474.64,0,9206474.64,,,,
194,Ludlow,,,,,,,,,,,,,,,4186955.916,16747823.66,0,16747823.66,,,,
195,Lynnfield,,,,,,,,,,,,,,,2366323.212,9465292.848,0,9465292.848,,,,
196,Malden,,,,,,,,,,,,,,,3484264.45,13934672.93,19873.92,13954546.85,,,,
197,Mansfield,,,,,,,,,,,,,,,3920929.003,15680283.17,28607.04,15708890.21,,,,
198,Marblehead,,,,,,,,,,,,,,,2405441.544,9621766.176,0,9621766.176,,,,
199,Manchester,,,,,,,,,,,,,,,703137.468,2812549.872,0,2812549.872,,,,
200,Mashpee,,,,,,,,,,,,,,,2887634.112,11550536.45,0,11550536.45,,,,
201,Marshfield,,,,,,,,,,,,,,,4035481.956,16141927.82,0,16141927.82,,,,
202,Medford,,,,,,,,,,,,,,,3557807.616,14231230.46,0,14231230.46,,,,
203,Maynard,,,,,,,,,,,,,,,1125464.076,4501856.304,0,4501856.304,,,,
204,Medfield,,,,,,,,,,,,,,,2352611.184,9410444.736,0,9410444.736,,,,
205,Mattapoisett,,,,,,,,,,,,,,,1129215.648,4516862.592,0,4516862.592,,,,
206,Sandisfield,,,,,,,,,,,,,,,1523469.684,6093878.736,0,6093878.736,,,,
207,Melrose,,,,,,,,,,,,,,,2304057.756,9216231.024,0,9216231.024,,,,
208,Methuen,,,,,,,,,,,,,,,5565108.912,22260435.65,0,22260435.65,,,,
209,Mendon,,,,,,,,,,,,,,,1586143.68,6344574.72,0,6344574.72,,,,
210,Merrimac,,,,,,,,,,,,,,,1055443.488,4221773.952,0,4221773.952,,,,
211,New Bedford,,,,,,,,,,,,,,,10247293.58,40987501.63,13939.2,41001440.83,,,,
212,Montague,,,,,,,,,,,,,,,3110306.232,12441224.93,0,12441224.93,,,,
213,Natick,,,,,,,,,,,,,,,4187341.62,16749366.48,0,16749366.48,,,,
214,Needham,,,,,,,,,,,,,,,3987077.292,15948309.17,0,15948309.17,,,,
215,Monson,,,,,,,,,,,,,,,2452486.476,9809945.904,0,9809945.904,,,,
216,Milton,,,,,,,,,,,,,,,3390101.748,13560406.99,0,13560406.99,,,,
217,Monroe,,,,,,,,,,,,,,,382551.048,1530204.192,0,1530204.192,,,,
218,New Braintree,,,,,,,,,,,,,,,1198019.724,4792078.896,0,4792078.896,,,,
219,New Marlborough,,,,,,,,,,,,,,,1744604.796,6978419.184,0,6978419.184,,,,
220,Montgomery,,,,,,,,,,,,,,,699897.264,2799589.056,0,2799589.056,,,,
221,Monterey,,,,,,,,,,,,,,,960331.548,3841326.192,0,3841326.192,,,,
222,Newton,,,,,,,,,,,,,,,9782062.361,39080007.65,402014.976,39482022.62,,,,
223,Nantucket,,,,,,,,,,,,,,,2525690.798,10093578.53,76538.88,10170117.41,,,,
224,Newburyport,,,,,,,,,,,,,,,2189218.416,8756873.664,0,8756873.664,,,,
225,Nahant,,,,,,,,,,,,,,,502812.024,2011248.096,0,2011248.096,,,,
226,New Salem,,,,,,,,,,,,,,,774750.372,3099001.488,0,3099001.488,,,,
227,Newbury,,,,,,,,,,,,,,,1432701.468,5730805.872,0,5730805.872,,,,
228,Mount Washington,,,,,,,,,,,,,,,379287.48,1517149.92,0,1517149.92,,,,
229,Middleton,,,,,,,,,,,,,,,1379422.704,5517120.576,4752,5521872.576,,,,
230,Milford,,,,,,,,,,,,,,,3782380.8,15129523.2,0,15129523.2,,,,
231,Oak Bluffs,,,,,,,,,,,,,,,857598.192,3430392.768,0,3430392.768,,,,
232,Orange,,,,,,,,,,,,,,,2206316.64,8825266.56,0,8825266.56,,,,
233,Middleborough,,,,,,,,,,,,,,,4166576.568,16666306.27,0,16666306.27,,,,
234,Middlefield,,,,,,,,,,,,,,,837867.36,3351469.44,0,3351469.44,,,,
235,Norwood,,,,,,,,,,,,,,,3998357.748,15993430.99,0,15993430.99,,,,
236,Millbury,,,,,,,,,,,,,,,2013819.852,8055279.408,0,8055279.408,,,,
237,Millis,,,,,,,,,,,,,,,1461353.652,5845414.608,0,5845414.608,,,,
238,Millville,,,,,,,,,,,,,,,504331.344,2017325.376,0,2017325.376,,,,
239,Oxford,,,,,,,,,,,,,,,2434650.636,9738602.544,0,9738602.544,,,,
240,Otis,,,,,,,,,,,,,,,859583.34,3438333.36,0,3438333.36,,,,
241,Ware,,,,,,,,,,,,,,,2104252.92,8417011.68,0,8417011.68,,,,
242,Palmer,,,,,,,,,,,,,,,2776704.876,11106819.5,0,11106819.5,,,,
243,New Ashford,,,,,,,,,,,,,,,209924.352,837568.512,17740.8,855309.312,,,,
244,Peabody,,,,,,,,,,,,,,,6361751.436,25435447.49,96318.816,25531766.3,,,,
245,Northampton,,,,,,,,,,,,,,,4446031.128,17782946.02,9820.8,17792766.82,,,,
246,Northbridge,,,,,,,,,,,,,,,2577658.38,10308482.45,17925.6,10326408.05,,,,
247,Northfield,,,,,,,,,,,,,,,1451533.38,5806133.52,0,5806133.52,,,,
248,Shrewsbury,,,,,,,,,,,,,,,5045359.968,20181439.87,0,20181439.87,,,,
249,Pepperell,,,,,,,,,,,,,,,2179500.312,8718001.248,0,8718001.248,,,,
250,Petersham,,,,,,,,,,,,,,,1251355.38,5005421.52,0,5005421.52,,,,
251,North Reading,,,,,,,,,,,,,,,2643501.96,10574007.84,0,10574007.84,,,,
252,Phillipston,,,,,,,,,,,,,,,1008556.296,4034225.184,0,4034225.184,,,,
253,Pembroke,,,,,,,,,,,,,,,2642402.004,10569608.02,0,10569608.02,,,,
254,Pittsfield,,,,,,,,,,,,,,,6570142.973,26241208.22,328030.56,26569238.78,,,,
255,Westborough,,,,,,,,,,,,,,,2958780,11835120,0,11835120,,,,
256,Pelham,,,,,,,,,,,,,,,527246.544,2108986.176,0,2108986.176,,,,
257,North Adams,,,,,,,,,,,,,,,2081404.528,8313701.616,99304.128,8413005.744,,,,
258,Rehoboth,,,,,,,,,,,,,,,3556995.684,14227982.74,0,14227982.74,,,,
259,Norfolk,,,,,,,,,,,,,,,2051100.48,8204401.92,0,8204401.92,,,,
260,Reading,,,,,,,,,,,,,,,2975464.668,11901858.67,0,11901858.67,,,,
261,North Attleborough,,,,,,,,,,,,,,,3330284.074,13284131.52,308373.12,13592504.64,,,,
262,Raynham,,,,,,,,,,,,,,,2298063.504,9192254.016,0,9192254.016,,,,
263,Rockland,,,,,,,,,,,,,,,1706842.5,6827370,0,6827370,,,,
264,Randolph,,,,,,,,,,,,,,,3552415.944,14209663.78,0,14209663.78,,,,
265,North Brookfield,,,,,,,,,,,,,,,1688131.368,6752525.472,0,6752525.472,,,,
266,Peru,,,,,,,,,,,,,,,812619.06,3250476.24,0,3250476.24,,,,
267,Oakham,,,,,,,,,,,,,,,1023024.024,4092096.096,0,4092096.096,,,,
268,Russell,,,,,,,,,,,,,,,621907.44,2487629.76,0,2487629.76,,,,
269,Rutland,,,,,,,,,,,,,,,1994730.144,7978920.576,0,7978920.576,,,,
270,Salem,,,,,,,,,,,,,,,3557242.26,14228969.04,0,14228969.04,,,,
271,Provincetown,,,,,,,,,,,,,,,627666.468,2510665.872,0,2510665.872,,,,
272,Royalston,,,,,,,,,,,,,,,1471459.308,5885837.232,0,5885837.232,,,,
273,Princeton,,,,,,,,,,,,,,,1814679.636,7258718.544,0,7258718.544,,,,
274,Plympton,,,,,,,,,,,,,,,939376.68,3757506.72,0,3757506.72,,,,
275,Sandwich,,,,,,,,,,,,,,,4049317.008,16197268.03,0,16197268.03,,,,
276,Rockport,,,,,,,,,,,,,,,895391.112,3581564.448,0,3581564.448,,,,
277,Rowley,,,,,,,,,,,,,,,1135481.16,4541924.64,0,4541924.64,,,,
278,Plainfield,,,,,,,,,,,,,,,1076433.864,4305735.456,0,4305735.456,,,,
279,Southwick,,,,,,,,,,,,,,,1984375.272,7937501.088,0,7937501.088,,,,
280,Spencer,,,,,,,,,,,,,,,2364359.448,9457437.792,0,9457437.792,,,,
281,Southborough,,,,,,,,,,,,,,,2049713.82,8198855.28,0,8198855.28,,,,
282,Southbridge,,,,,,,,,,,,,,,2393189.04,9572756.16,0,9572756.16,,,,
283,Springfield,Underfunded,8,"589,970,000","7,374,625,000",n/a,0,underfunded,30,underfunded,7.69,underfunded,50,"$1,347,929 ","$16,184,112 ","17,532,040.68","70,128,162.72",0,"70,128,162.72","154,074","$35,742 ",https://www.springfield-ma.gov/finance/fileadmin/comptroller/Comprehensive_Annual_Financial_Report/Springfield_FY2017_CAFR.pdf,https://www.springfield-ma.gov/finance/fileadmin/budget/2017/Final_FY17_Adopted_6.30.16.pdf
284,Southampton,,,,,,,,,,,,,,,1952800.74,7811202.96,0,7811202.96,,,,
285,Shutesbury,,,,,,,,,,,,,,,701066.388,2804265.552,0,2804265.552,,,,
