,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential,city_roads_expected_annual_cost,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
102,Concord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,227,091.91","12,908,367.65",0.00,"12,908,367.65",0,0,0,0
103,Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,535,484.32","6,141,937.30",0.00,"6,141,937.30",0,0,0,0
104,Chilmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"330,674.26","1,322,697.02",0.00,"1,322,697.02",0,0,0,0
105,Clarksburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"390,421.42","1,561,685.66",0.00,"1,561,685.66",0,0,0,0
106,South Hadley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,594,769.67","10,379,078.69",0.00,"10,379,078.69",0,0,0,0
107,Dalton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,174,883.95","4,699,535.81",0.00,"4,699,535.81",0,0,0,0
108,Cummington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,050,124.02","4,200,496.08",0.00,"4,200,496.08",0,0,0,0
109,Conway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,343,784.68","5,375,138.74",0.00,"5,375,138.74",0,0,0,0
110,Dartmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,676,106.45","26,704,425.79",0.00,"26,704,425.79",0,0,0,0
111,Dennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,106,528.05","16,426,112.21",0.00,"16,426,112.21",0,0,0,0
112,Deerfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,834,128.91","7,336,515.65",0.00,"7,336,515.65",0,0,0,0
113,Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,769,027.30","7,076,109.22",0.00,"7,076,109.22",0,0,0,0
114,Dover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,758,495.55","7,033,982.21",0.00,"7,033,982.21",0,0,0,0
115,Greenfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,431,057.39","13,722,975.02","10,454.40","13,733,429.42",0,0,0,0
116,Dighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,624,813.75","6,490,236.19","75,156.58","6,565,392.77",0,0,0,0
117,Duxbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,704,352.11","10,817,408.45",0.00,"10,817,408.45",0,0,0,0
118,Dunstable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"908,935.37","3,635,741.47",0.00,"3,635,741.47",0,0,0,0
