,city_name,city_status,overall_city_health_score,city_status_current_funding,city_expected_funding,airport_asset_status,airport_score,building_asset_status,building_score,road_asset_status,road_score,sewage_asset_status,sewage_score,city_roads_actual_annual_spending,city_roads_cost_differential, city_roads_expected_annual_cost ,city_total_sq_footage_asphalt_streets,city_total_sq_footage_concrete_streets,city_total_sq_footage_streets,city_population,city_median_household_income,city_cafr_link,city_budget_link
170,HULL,,,,,,,,,,,,,,,5443725.825,6621194.976,0,6621194.976,,,,
171,HOLLAND,,,,,,,,,,,,,,,2636173.387,3206373.456,0,3206373.456,,,,
172,HOPKINTON,,,,,,,,,,,,,,,9710036.141,11810301.36,0,11810301.36,,,,
173,HOPEDALE,,,,,,,,,,,,,,,3179449.77,3867159.648,0,3867159.648,,,,
174,LAKEVILLE,,,,,,,,,,,,,,,6469464.093,7868798.784,0,7868798.784,,,,
175,KINGSTON,,,,,,,,,,,,,,,6672595.247,8115866.88,0,8115866.88,,,,
176,HUNTINGTON,,,,,,,,,,,,,,,3095421.995,3764956.8,0,3764956.8,,,,
177,IPSWICH,,,,,,,,,,,,,,,7284330.699,8859919.728,0,8859919.728,,,,
178,MARLBOROUGH,,,,,,,,,,,,,,,15067931.79,18327101.23,0,18327101.23,,,,
179,STOW,,,,,,,,,,,,,,,4996155.049,6076815.36,0,6076815.36,,,,
180,LENOX,,,,,,,,,,,,,,,4108926.216,4992479.184,142540.992,5135020.176,,,,
181,LANCASTER,,,,,,,,,,,,,,,5623321.162,6839636.496,0,6839636.496,,,,
182,LANESBOROUGH,,,,,,,,,,,,,,,3417717.179,4153300.8,100389.696,4253690.496,,,,
183,LEICESTER,,,,,,,,,,,,,,,6848941.75,8330356.848,0,8330356.848,,,,
184,LEOMINSTER,,,,,,,,,,,,,,,18300875.1,22259267.18,1584,22260851.18,,,,
185,LEE,,,,,,,,,,,,,,,4703578.936,5720955.504,0,5720955.504,,,,
186,LEXINGTON,,,,,,,,,,,,,,,14152599.63,17213784.19,0,17213784.19,,,,
187,PAXTON,,,,,,,,,,,,,,,3439135.993,4183015.584,0,4183015.584,,,,
